"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 02:57:22 GMT 2024","Sun Oct 20 02:57:22 GMT 2024","113","","Links assertion on the home page","","","","validate, link contains Forgot Password Editor",""
"passed","Sun Oct 20 02:57:23 GMT 2024","Sun Oct 20 02:57:23 GMT 2024","115","","Links assertion on the home page","","","","validate, link contains JQuery UI Menus Editor",""
"passed","Sun Oct 20 02:57:20 GMT 2024","Sun Oct 20 02:57:20 GMT 2024","117","","Links assertion on the home page","","","","validate, link contains Checkboxes Editor",""
"passed","Sun Oct 20 02:57:22 GMT 2024","Sun Oct 20 02:57:23 GMT 2024","112","","Links assertion on the home page","","","","validate, link contains Horizontal Slider Editor",""
"passed","Sun Oct 20 02:57:21 GMT 2024","Sun Oct 20 02:57:21 GMT 2024","109","","Links assertion on the home page","","","","validate, link contains Dynamic Controls Editor",""
"passed","Sun Oct 20 02:57:24 GMT 2024","Sun Oct 20 02:57:24 GMT 2024","119","","Links assertion on the home page","","","","validate, link contains Shifting Content Editor",""
"passed","Sun Oct 20 02:57:24 GMT 2024","Sun Oct 20 02:57:24 GMT 2024","115","","Links assertion on the home page","","","","validate, link contains Nested Frames Editor",""
"passed","Sun Oct 20 02:57:22 GMT 2024","Sun Oct 20 02:57:22 GMT 2024","122","","Links assertion on the home page","","","","validate, link contains File Upload Editor",""
"passed","Sun Oct 20 02:57:17 GMT 2024","Sun Oct 20 02:57:18 GMT 2024","102","","API end point assertions","","","","fetch list of users",""
"passed","Sun Oct 20 02:57:21 GMT 2024","Sun Oct 20 02:57:21 GMT 2024","127","","Links assertion on the home page","","","","validate, link contains Dynamic Loading Editor",""
"passed","Sun Oct 20 02:57:25 GMT 2024","Sun Oct 20 02:57:25 GMT 2024","111","","Links assertion on the home page","","","","validate, link contains WYSIWYG Editor Editor",""
"passed","Sun Oct 20 02:57:23 GMT 2024","Sun Oct 20 02:57:23 GMT 2024","108","","Links assertion on the home page","","","","validate, link contains Infinite Scroll Editor",""
"passed","Sun Oct 20 02:57:22 GMT 2024","Sun Oct 20 02:57:22 GMT 2024","125","","Links assertion on the home page","","","","validate, link contains File Download Editor",""
"passed","Sun Oct 20 02:57:25 GMT 2024","Sun Oct 20 02:57:25 GMT 2024","129","","Links assertion on the home page","","","","validate, link contains Status Codes Editor",""
"passed","Sun Oct 20 02:57:20 GMT 2024","Sun Oct 20 02:57:20 GMT 2024","122","","Links assertion on the home page","","","","validate, link contains Basic Auth Editor",""
"passed","Sun Oct 20 02:57:23 GMT 2024","Sun Oct 20 02:57:23 GMT 2024","107","","Links assertion on the home page","","","","validate, link contains JavaScript Alerts Editor",""
"passed","Sun Oct 20 02:57:21 GMT 2024","Sun Oct 20 02:57:22 GMT 2024","118","","Links assertion on the home page","","","","validate, link contains Exit Intent Editor",""
