"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","validate, link contains Typos Editor","","Fri Jan 03 02:50:29 GMT 2025","passed","Fri Jan 03 02:50:29 GMT 2025","","Links assertion on the home page","",""
"","166","validate, link contains Key Presses Editor","","Fri Jan 03 02:50:27 GMT 2025","passed","Fri Jan 03 02:50:27 GMT 2025","","Links assertion on the home page","",""
"","184","validate, link contains Drag and Drop Editor","","Fri Jan 03 02:50:23 GMT 2025","passed","Fri Jan 03 02:50:23 GMT 2025","","Links assertion on the home page","",""
"","169","validate, link contains WYSIWYG Editor Editor","","Fri Jan 03 02:50:29 GMT 2025","passed","Fri Jan 03 02:50:29 GMT 2025","","Links assertion on the home page","",""
"","174","validate, link contains Floating Menu Editor","","Fri Jan 03 02:50:24 GMT 2025","passed","Fri Jan 03 02:50:25 GMT 2025","","Links assertion on the home page","",""
"","173","validate, link contains Shadow DOM Editor","","Fri Jan 03 02:50:28 GMT 2025","passed","Fri Jan 03 02:50:28 GMT 2025","","Links assertion on the home page","",""
"","179","validate, link contains Forgot Password Editor","","Fri Jan 03 02:50:25 GMT 2025","passed","Fri Jan 03 02:50:25 GMT 2025","","Links assertion on the home page","",""
"","184","validate, link contains Frames Editor","","Fri Jan 03 02:50:25 GMT 2025","passed","Fri Jan 03 02:50:25 GMT 2025","","Links assertion on the home page","",""
"","199","validate, link contains Disappearing Elements Editor","","Fri Jan 03 02:50:23 GMT 2025","passed","Fri Jan 03 02:50:23 GMT 2025","","Links assertion on the home page","",""
"","170","validate, link contains Slow Resources Editor","","Fri Jan 03 02:50:28 GMT 2025","passed","Fri Jan 03 02:50:29 GMT 2025","","Links assertion on the home page","",""
"","175","validate, link contains Notification Messages Editor","","Fri Jan 03 02:50:27 GMT 2025","passed","Fri Jan 03 02:50:28 GMT 2025","","Links assertion on the home page","",""
"","181","validate, link contains File Download Editor","","Fri Jan 03 02:50:24 GMT 2025","passed","Fri Jan 03 02:50:24 GMT 2025","","Links assertion on the home page","",""
"","193","validate, link contains Secure File Download Editor","","Fri Jan 03 02:50:28 GMT 2025","passed","Fri Jan 03 02:50:28 GMT 2025","","Links assertion on the home page","",""
"","184","validate, link contains Checkboxes Editor","","Fri Jan 03 02:50:22 GMT 2025","passed","Fri Jan 03 02:50:22 GMT 2025","","Links assertion on the home page","",""
"","166","validate, link contains Sortable Data Tables Editor","","Fri Jan 03 02:50:29 GMT 2025","passed","Fri Jan 03 02:50:29 GMT 2025","","Links assertion on the home page","",""
"","194","validate, link contains Broken Images Editor","","Fri Jan 03 02:50:22 GMT 2025","passed","Fri Jan 03 02:50:22 GMT 2025","","Links assertion on the home page","",""
"","184","validate, link contains Dynamic Loading Editor","","Fri Jan 03 02:50:24 GMT 2025","passed","Fri Jan 03 02:50:24 GMT 2025","","Links assertion on the home page","",""
"","186","validate, link contains Dynamic Controls Editor","","Fri Jan 03 02:50:23 GMT 2025","passed","Fri Jan 03 02:50:23 GMT 2025","","Links assertion on the home page","",""
"","182","validate, link contains Exit Intent Editor","","Fri Jan 03 02:50:24 GMT 2025","passed","Fri Jan 03 02:50:24 GMT 2025","","Links assertion on the home page","",""
"","168","validate, link contains JavaScript onload event error Editor","","Fri Jan 03 02:50:27 GMT 2025","passed","Fri Jan 03 02:50:27 GMT 2025","","Links assertion on the home page","",""
"","1223","validate, link contains A/B Testing Editor","","Fri Jan 03 02:50:20 GMT 2025","passed","Fri Jan 03 02:50:21 GMT 2025","","Links assertion on the home page","",""
"","172","validate, link contains Shifting Content Editor","","Fri Jan 03 02:50:28 GMT 2025","passed","Fri Jan 03 02:50:28 GMT 2025","","Links assertion on the home page","",""
"","211","validate, link contains Add/Remove Elements Editor","","Fri Jan 03 02:50:21 GMT 2025","passed","Fri Jan 03 02:50:21 GMT 2025","","Links assertion on the home page","",""
"","183","validate, link contains Entry Ad Editor","","Fri Jan 03 02:50:24 GMT 2025","passed","Fri Jan 03 02:50:24 GMT 2025","","Links assertion on the home page","",""
"","184","validate, link contains Dynamic Content Editor","","Fri Jan 03 02:50:23 GMT 2025","passed","Fri Jan 03 02:50:23 GMT 2025","","Links assertion on the home page","",""
"","171","validate, link contains Nested Frames Editor","","Fri Jan 03 02:50:27 GMT 2025","passed","Fri Jan 03 02:50:27 GMT 2025","","Links assertion on the home page","",""
"","190","validate, link contains Basic Auth Editor","","Fri Jan 03 02:50:21 GMT 2025","passed","Fri Jan 03 02:50:21 GMT 2025","","Links assertion on the home page","",""
"","204","validate, link contains Infinite Scroll Editor","","Fri Jan 03 02:50:26 GMT 2025","passed","Fri Jan 03 02:50:26 GMT 2025","","Links assertion on the home page","",""
"","170","validate, link contains Status Codes Editor","","Fri Jan 03 02:50:29 GMT 2025","passed","Fri Jan 03 02:50:29 GMT 2025","","Links assertion on the home page","",""
